epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
72,190.164,0.78655,0.44541,0.44069,0.58413,1.21337,0.99756,1,0.995,0.71181,0.99756,1,0.995,0.92088,1.13266,0.33702,0.39818,0.46903,1.40383,0.0005942,0.0005942,0.0005942
73,192.295,0.71561,0.48626,0.4422,0.50619,1.13643,0.9975,1,0.995,0.76275,0.9975,1,0.995,0.94543,0.97765,0.29882,0.39489,0.4408,1.28326,0.0005744,0.0005744,0.0005744
74,194.457,0.62162,0.4319,0.42948,0.46583,1.11224,0.99752,1,0.995,0.8107,0.99752,1,0.995,0.964,0.79007,0.27762,0.40454,0.41416,1.17037,0.0005546,0.0005546,0.0005546
75,196.605,0.72638,0.45024,0.42238,0.49543,1.1862,0.99744,1,0.995,0.83049,0.99744,1,0.995,0.9698,0.6412,0.30825,0.43705,0.35954,1.13495,0.0005348,0.0005348,0.0005348
76,198.76,0.78072,0.44547,0.43799,0.50663,1.25662,0.99751,1,0.995,0.81959,0.99751,1,0.995,0.96618,0.70571,0.31494,0.45839,0.36618,1.18248,0.000515,0.000515,0.000515
77,200.862,0.7846,0.54028,0.40998,0.50279,1.26988,0.99759,1,0.995,0.77162,0.99759,1,0.995,0.96951,0.84334,0.31496,0.47175,0.40717,1.27272,0.0004952,0.0004952,0.0004952
78,203.017,0.72206,0.56164,0.43081,0.46613,1.16117,0.99772,1,0.995,0.7512,0.99772,1,0.995,0.99133,0.9042,0.27806,0.46027,0.42716,1.30141,0.0004754,0.0004754,0.0004754
79,205.166,0.72672,0.47654,0.40243,0.50963,1.17278,0.99779,1,0.995,0.74515,0.99779,1,0.995,0.995,0.89808,0.25196,0.43418,0.42362,1.26513,0.0004556,0.0004556,0.0004556
80,207.453,0.67651,0.52045,0.43667,0.49029,1.14916,0.9977,1,0.995,0.74016,0.9977,1,0.995,0.98313,0.87907,0.26521,0.42154,0.41797,1.22339,0.0004358,0.0004358,0.0004358
81,209.587,0.70935,0.55742,0.41828,0.47305,1.11522,0.99774,1,0.995,0.76473,0.99774,1,0.995,0.94624,0.80363,0.32564,0.40587,0.41287,1.16063,0.000416,0.000416,0.000416
82,212.487,0.62959,0.50386,0.39968,0.45214,1.08726,0.99774,1,0.995,0.76392,0.99774,1,0.995,0.93478,0.81091,0.31354,0.40634,0.41667,1.16618,0.0003962,0.0003962,0.0003962
83,216.009,0.75338,0.43393,0.42817,0.60536,1.20264,0.99782,1,0.995,0.81777,0.99782,1,0.995,0.94154,0.71423,0.31669,0.40865,0.36451,1.10849,0.0003764,0.0003764,0.0003764
84,219.336,0.63617,0.43069,0.41269,0.46773,1.14024,0.99774,1,0.995,0.8214,0.99774,1,0.995,0.95982,0.73332,0.28568,0.41817,0.38026,1.12753,0.0003566,0.0003566,0.0003566
85,222.357,0.70626,0.54755,0.38567,0.45698,1.18954,0.99778,1,0.995,0.80785,0.99778,1,0.995,0.97997,0.76983,0.27483,0.42434,0.38669,1.16367,0.0003368,0.0003368,0.0003368
86,225.52,0.66164,0.48121,0.42442,0.45682,1.11418,0.99778,1,0.995,0.80528,0.99778,1,0.995,0.96785,0.82435,0.2725,0.4283,0.39675,1.21253,0.000317,0.000317,0.000317
87,228.248,0.68873,0.43222,0.39759,0.46489,1.14677,0.99779,1,0.995,0.77143,0.99779,1,0.995,0.95436,0.88324,0.25986,0.42615,0.39851,1.26004,0.0002972,0.0002972,0.0002972
88,230.451,0.60246,0.41642,0.37871,0.44549,1.07431,0.99772,1,0.995,0.77267,0.99772,1,0.995,0.95078,0.93362,0.26441,0.41781,0.41519,1.30366,0.0002774,0.0002774,0.0002774
89,232.808,0.62237,0.42454,0.43836,0.45742,1.13311,0.99766,1,0.995,0.76657,0.99766,1,0.995,0.95366,0.95612,0.26398,0.40898,0.42171,1.3299,0.0002576,0.0002576,0.0002576
90,234.987,0.61224,0.48105,0.38758,0.43338,1.08822,0.99772,1,0.995,0.75895,0.99772,1,0.995,0.96178,0.94547,0.26761,0.39896,0.42277,1.32796,0.0002378,0.0002378,0.0002378
91,246.545,0.47723,0.34757,0.49178,0.44426,1.10945,0.99765,1,0.995,0.78819,0.99765,1,0.995,0.96977,0.84921,0.23015,0.38785,0.39229,1.27641,0.000218,0.000218,0.000218
92,250.014,0.51599,0.37349,0.49853,0.41988,1.18147,0.99748,1,0.995,0.80175,0.99748,1,0.995,0.96941,0.818,0.20724,0.39204,0.38328,1.24885,0.0001982,0.0001982,0.0001982
93,252.588,0.49171,0.36448,0.51956,0.37521,1.09507,0.99735,1,0.995,0.80751,0.99735,1,0.995,0.96884,0.80882,0.18815,0.39717,0.37544,1.23909,0.0001784,0.0001784,0.0001784
94,254.847,0.4297,0.3428,0.50519,0.33528,1.07757,0.9974,1,0.995,0.81043,0.9974,1,0.995,0.96517,0.80608,0.16965,0.392,0.37279,1.23382,0.0001586,0.0001586,0.0001586
95,257.043,0.44216,0.34277,0.47442,0.35333,1.10587,0.99743,1,0.995,0.80873,0.99743,1,0.995,0.9641,0.80172,0.15824,0.39101,0.37717,1.22646,0.0001388,0.0001388,0.0001388
96,259.302,0.47805,0.29573,0.45543,0.33934,1.04094,0.99695,1,0.995,0.81454,0.99695,1,0.995,0.97414,0.79339,0.1582,0.38938,0.37637,1.21499,0.000119,0.000119,0.000119
97,261.452,0.38441,0.27874,0.4259,0.32558,1.03284,0.99691,1,0.995,0.82091,0.99691,1,0.995,0.97506,0.77749,0.16654,0.39396,0.37734,1.20152,9.92e-05,9.92e-05,9.92e-05
98,263.58,0.50283,0.36179,0.47918,0.38992,1.13269,0.99741,1,0.995,0.82188,0.99741,1,0.995,0.98309,0.7637,0.16991,0.39524,0.37198,1.19341,7.94e-05,7.94e-05,7.94e-05
99,266.052,0.396,0.27559,0.44851,0.30959,1.03079,0.99762,1,0.995,0.82494,0.99762,1,0.995,0.9814,0.74317,0.17143,0.39159,0.36336,1.18335,5.96e-05,5.96e-05,5.96e-05
100,268.362,0.3754,0.26935,0.46298,0.31336,1.01729,0.99771,1,0.995,0.82648,0.99771,1,0.995,0.98173,0.74448,0.171,0.38842,0.36128,1.18372,3.98e-05,3.98e-05,3.98e-05
